measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,Organ,metric_id,metric_name,year,val
27,Probability of death,552,New Hampshire,2,Female,13,15-49 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.000578838
27,Probability of death,552,New Hampshire,1,Male,14,15-49 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.001589388
27,Probability of death,552,New Hampshire,2,Female,14,15-49 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.000936096
27,Probability of death,552,New Hampshire,1,Male,15,50-74 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.002221336
27,Probability of death,552,New Hampshire,2,Female,15,50-74 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.00141963
27,Probability of death,552,New Hampshire,1,Male,16,50-74 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.003448785
27,Probability of death,552,New Hampshire,2,Female,16,50-74 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.001816732
27,Probability of death,552,New Hampshire,1,Male,17,50-74 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.004218886
27,Probability of death,552,New Hampshire,2,Female,17,50-74 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.002274816
27,Probability of death,552,New Hampshire,1,Male,18,50-74 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.00435959
27,Probability of death,552,New Hampshire,2,Female,18,50-74 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.003324752
27,Probability of death,552,New Hampshire,1,Male,19,50-74 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.005675007
27,Probability of death,552,New Hampshire,2,Female,19,50-74 years,526,Digestive diseases,stomach,8,Probability of death,2022,0.004116076
27,Probability of death,552,New Hampshire,1,Male,20,75+ years,526,Digestive diseases,stomach,8,Probability of death,2022,0.007402168
27,Probability of death,552,New Hampshire,2,Female,20,75+ years,526,Digestive diseases,stomach,8,Probability of death,2022,0.007306825
